ean;mfn;brand;name;category;price;currency;qty
5900000000037;K70-RGB-PRO;Corsair;Corsair K70 RGB Pro Mechanical Keyboard;Keyboards;551.24;PLN;22
5900000000039;G-PRO-X-SUPERLIGHT;Logitech;Logitech G Pro X Superlight Wireless;Mice;511.81;PLN;25
5900000000040;RAZER-VIPER-V2;Razer;Razer Viper V2 Pro Wireless;Mice;630.11;PLN;18
5900000000042;MX-MASTER-3S;Logitech;Logitech MX Master 3S Wireless;Mice;354.09;PLN;35
5900000000044;WH-1000XM5;Sony;Sony WH-1000XM5 Wireless ANC;Headphones;1261.00;PLN;14
5900000000045;ARCTIS-NOVA-7;SteelSeries;SteelSeries Arctis Nova 7 Wireless;Headphones;708.97;PLN;16
5900000000047;HYPERX-QUADCAST-S;HyperX;HyperX QuadCast S RGB USB Mic;Microphones;630.11;PLN;12
5900000000048;BRIO-4K;Logitech;Logitech Brio 4K Ultra HD Webcam;Webcams;630.11;PLN;18
5900000000050;Z407-BT;Logitech;Logitech Z407 2.1 Bluetooth Speakers;Speakers;314.66;PLN;22
5900000000052;MM700-RGB;Corsair;Corsair MM700 RGB Extended Mousepad;MousePads;117.50;PLN;60
5900000000053;RAZER-GIGANTUS-V2;Razer;Razer Gigantus V2 3XL Mousepad;MousePads;101.73;PLN;45
5900000000055;TUF-A15-FA507;ASUS;ASUS TUF Gaming A15 RTX 4050;Laptops;3390.27;PLN;10
5900000000056;MACBOOK-AIR-M3;Apple;Apple MacBook Air 13 M3 256GB;Laptops;4336.61;PLN;6
5900000000059;OMEN-16-WF;HP;HP Omen 16 RTX 4060;Laptops;4573.20;PLN;8
5900000000061;KATANA-15-B13V;MSI;MSI Katana 15 RTX 4060;Laptops;3942.30;PLN;9
5900000000062;BX8071514700K;Intel;Intel Core i7-14700K;CPU;1497.59;PLN;16
5900000000064;100-100000927BOX;AMD;AMD Ryzen 5 5600;CPU;432.95;PLN;30
5900000000065;GV-N406TWF2OC;Gigabyte;Gigabyte GeForce RTX 4060 Ti Windforce 8GB;GPU;1418.72;PLN;18
5900000000067;RX7900XTX-24G;PowerColor;PowerColor Red Devil Radeon RX 7900 XTX 24GB;GPU;3626.85;PLN;5
5900000000069;SKC3000D2TB;Kingston;Kingston KC3000 2TB NVMe Gen4;Storage;630.11;PLN;22
5900000000071;CT1000P3PSSD8;Crucial;Crucial P3 Plus 1TB NVMe Gen4;Storage;235.80;PLN;45
5900000000073;KF560C36RSK2-32;Kingston;Kingston Fury Renegade 32GB DDR5-6000;Memory;496.04;PLN;24
5900000000074;CP32G60C36;Crucial;Crucial Pro 32GB DDR5-6000;Memory;432.95;PLN;28
5900000000076;PRO-Z790-A;MSI;MSI PRO Z790-A WiFi DDR5;Motherboard;866.69;PLN;14
5900000000078;STRAIGHT-12-850W;be quiet!;be quiet! Straight Power 12 850W 80+ Platinum;PSU;630.11;PLN;16
5900000000079;FOCUS-GX-750;Seasonic;Seasonic Focus GX-750 80+ Gold;PSU;377.75;PLN;24
5900000000081;DARK-ROCK-PRO-5;be quiet!;be quiet! Dark Rock Pro 5;Cooler;393.52;PLN;20
5900000000083;O11-DYNAMIC-EVO;Lian Li;Lian Li O11 Dynamic Evo;Case;590.67;PLN;12
5900000000084;ARCTIC-P12-5PK;Arctic;Arctic P12 PWM PST 5-pack 120mm;Fan;101.73;PLN;60
5900000000085;SILENT-WINGS-4;be quiet!;be quiet! Silent Wings 4 120mm PWM;Fan;133.28;PLN;40
5900000000086;AOC-24G2U;AOC;AOC 24G2 24 inch 144Hz IPS;Displays;630.11;PLN;22
5900000000088;GB-M27Q-P;Gigabyte;Gigabyte M27Q P 27 inch QHD 170Hz;Displays;1024.41;PLN;16
5900000000090;APEX-PRO-TKL;SteelSeries;SteelSeries Apex Pro TKL Gen 3;Keyboards;708.97;PLN;18
5900000000091;G502-X-PLUS;Logitech;Logitech G502 X Plus Wireless;Mice;590.67;PLN;20
5900000000093;HD-560S;Sennheiser;Sennheiser HD 560S Open-Back;Headphones;551.24;PLN;16
5900000000096;ELGATO-FACECAM;Elgato;Elgato Facecam 1080p60;Webcams;630.11;PLN;18
5900000000098;STEELSERIES-QCK-H;SteelSeries;SteelSeries QcK Heavy Large Mousepad;MousePads;101.73;PLN;50
5900000000100;LOGI-MX-KEYS-S;Logitech;Logitech MX Keys S Wireless Keyboard;Keyboards;432.95;PLN;28
5900000000101;BX8071514400F;Intel;Intel Core i5-14400F;CPU;630.11;PLN;40
5900000000103;100-100000591WOF;AMD;AMD Ryzen 7 7700X;CPU;1063.85;PLN;25
5900000000104;RTX4060-VENTUS-2X-8G;MSI;MSI GeForce RTX 4060 Ventus 2X 8GB;GPU;1103.28;PLN;18
5900000000106;11330-02-20G;Sapphire;Sapphire Pulse Radeon RX 7800 XT 16GB;GPU;1891.89;PLN;12
5900000000107;KF560C36BBEK2-32;Kingston;Kingston Fury Beast 32GB DDR5 6000 Kit;Memory;393.52;PLN;60
5900000000109;PVV532G560C36K;Patriot;Patriot Viper Venom 32GB DDR5 5600 Kit;Memory;338.32;PLN;50
5900000000110;PRIME-B650-PLUS;ASUS;ASUS PRIME B650-PLUS;Motherboard;511.81;PLN;20
5900000000112;B650-AORUS-ELITE-AX;Gigabyte;Gigabyte B650 Aorus Elite AX;Motherboard;708.97;PLN;15
5900000000113;BN343;be quiet!;be quiet! Pure Power 12 M 750W 80+ Gold;PSU;393.52;PLN;30
5900000000115;CP-9020263-EU;Corsair;Corsair RM850e 80+ Gold;PSU;472.38;PLN;25
5900000000116;WDS100T2X0E;WD;WD Black SN850X 1TB NVMe;Storage;354.09;PLN;40
5900000000118;LNM790X001T;Lexar;Lexar NM790 1TB NVMe;Storage;275.23;PLN;50
5900000000119;NH-U12S-REDUX;Noctua;Noctua NH-U12S redux;Cooler;196.37;PLN;30
5900000000121;ACFRE00046B;Arctic;Arctic Liquid Freezer II 240;Cooler;354.09;PLN;15
5900000000122;FD-C-POA1A-02;Fractal Design;Fractal Design Pop Air Black TG;Case;306.77;PLN;18
5900000000124;CC-9011200-WW;Corsair;Corsair 4000D Airflow Black;Case;314.66;PLN;20
5900000000125;NF-A12X25-PWM;Noctua;Noctua NF-A12x25 PWM 120mm;Fan;101.73;PLN;60
5900000000127;BL093;be quiet!;be quiet! Silent Wings 4 120mm PWM;Fan;85.96;PLN;70
5900000000128;S2722DGM;Dell;Dell S2722DGM 27-inch Curved QHD 165Hz;Displays;945.55;PLN;12
5900000000130;24G2SP;AOC;AOC 24G2SP 24-inch FHD 165Hz;Displays;472.38;PLN;20
5900000000131;920-010437;Logitech;Logitech G413 SE Mechanical;Keyboards;196.37;PLN;30
5900000000133;64795;SteelSeries;SteelSeries Apex 3;Keyboards;235.80;PLN;25
5900000000134;910-006138;Logitech;Logitech G502 X Black;Mice;235.80;PLN;35
5900000000136;62513;SteelSeries;SteelSeries Rival 3;Mice;117.50;PLN;40
5900000000137;63003;SteelSeries;SteelSeries QcK Large;MousePads;54.41;PLN;80
5900000000139;943-000094;Logitech;Logitech G240 Cloth;MousePads;70.19;PLN;70
5900000000140;KHX-HSCP-RD;HyperX;HyperX Cloud II Red;Headphones;314.66;PLN;25
5900000000142;61631;SteelSeries;SteelSeries Arctis Nova 3;Headphones;354.09;PLN;18
5900000000143;988-000205;Blue;Blue Yeti Nano;Microphones;354.09;PLN;15
5900000000145;RZ19-03450100;Razer;Razer Seiren Mini;Microphones;172.71;PLN;30
5900000000146;960-001252;Logitech;Logitech C920s Pro HD;Webcams;275.23;PLN;20
5900000000148;10WAC9901;Elgato;Elgato Facecam;Webcams;511.81;PLN;10
5900000000149;980-001348;Logitech;Logitech Z407 2.1;Speakers;275.23;PLN;20
5900000000151;R1280T;Edifier;Edifier R1280T 2.0;Speakers;314.66;PLN;15
5900000000152;82XF004YPB;Lenovo;Lenovo IdeaPad Slim 5 14 Ryzen 5;Laptops;2207.34;PLN;10
5900000000154;85A08EA;HP;HP 255 G10 Ryzen 5;Laptops;1734.17;PLN;15
